Lower tier local authorities Code,Lower tier local authorities,Observation
E06000001,Hartlepool,2031
E06000002,Middlesbrough,3424
E06000003,Redcar and Cleveland,2728
E06000004,Stockton-on-Tees,3979
E06000005,Darlington,2531
E06000006,Halton,2721
E06000007,Warrington,4239
E06000008,Blackburn with Darwen,2494
E06000009,Blackpool,5549
E06000010,Kingston upon Hull,7686
E06000011,East Riding of Yorkshire,5651
E06000012,North East Lincolnshire,3221
E06000013,North Lincolnshire,3225
E06000014,York,8006
E06000015,Derby,6317
E06000016,Leicester,8934
E06000017,Rutland,671
E06000018,Nottingham,11271
E06000019,Herefordshire,3373
E06000020,Telford and Wrekin,4037
E06000021,Stoke-on-Trent,6109
E06000022,Bath and North East Somerset,5589
E06000023,Bristol,21947
E06000024,North Somerset,4646
E06000025,South Gloucestershire,6255
E06000026,Plymouth,9032
E06000027,Torbay,3657
E06000030,Swindon,5318
E06000031,Peterborough,4481
E06000032,Luton,3834
E06000033,Southend-on-Sea,4651
E06000034,Thurrock,2723
E06000035,Medway,6055
E06000036,Bracknell Forest,2535
E06000037,West Berkshire,2941
E06000038,Reading,5460
E06000039,Slough,2297
E06000040,Windsor and Maidenhead,2738
E06000041,Wokingham,2935
E06000042,Milton Keynes,6309
E06000043,Brighton and Hove,24019
E06000044,Portsmouth,7325
E06000045,Southampton,9052
E06000046,Isle of Wight,3124
E06000047,County Durham,11348
E06000049,Cheshire East,7874
E06000050,Cheshire West and Chester,7974
E06000051,Shropshire,6156
E06000052,Cornwall,13527
E06000053,Isles of Scilly,50
E06000054,Wiltshire,10084
E06000055,Bedford,3911
E06000056,Central Bedfordshire,5368
E06000057,Northumberland,5918
E06000058,"Bournemouth, Christchurch and Poole",12108
E06000059,Dorset,6890
E06000060,Buckinghamshire,9339
E06000061,North Northamptonshire,7081
E06000062,West Northamptonshire,9060
E07000008,Cambridge,6385
E07000009,East Cambridgeshire,1833
E07000010,Fenland,2047
E07000011,Huntingdonshire,3738
E07000012,South Cambridgeshire,3496
E07000026,Allerdale,1626
E07000027,Barrow-in-Furness,1328
E07000028,Carlisle,2425
E07000029,Copeland,1190
E07000030,Eden,924
E07000031,South Lakeland,1956
E07000032,Amber Valley,2596
E07000033,Bolsover,1680
E07000034,Chesterfield,2456
E07000035,Derbyshire Dales,1255
E07000036,Erewash,2592
E07000037,High Peak,2132
E07000038,North East Derbyshire,1782
E07000039,South Derbyshire,1979
E07000040,East Devon,2833
E07000041,Exeter,4892
E07000042,Mid Devon,1661
E07000043,North Devon,1882
E07000044,South Hams,1847
E07000045,Teignbridge,2800
E07000046,Torridge,1342
E07000047,West Devon,1084
E07000061,Eastbourne,3236
E07000062,Hastings,3435
E07000063,Lewes,3304
E07000064,Rother,2000
E07000065,Wealden,3030
E07000066,Basildon,3044
E07000067,Braintree,2784
E07000068,Brentwood,1102
E07000069,Castle Point,1174
E07000070,Chelmsford,3270
E07000071,Colchester,4965
E07000072,Epping Forest,2122
E07000073,Harlow,1789
E07000074,Maldon,1049
E07000075,Rochford,1137
E07000076,Tendring,2625
E07000077,Uttlesford,1431
E07000078,Cheltenham,3558
E07000079,Cotswold,1647
E07000080,Forest of Dean,1583
E07000081,Gloucester,3214
E07000082,Stroud,2682
E07000083,Tewkesbury,1702
E07000084,Basingstoke and Deane,4143
E07000085,East Hampshire,2297
E07000086,Eastleigh,2777
E07000087,Fareham,2234
E07000088,Gosport,2101
E07000089,Hart,1631
E07000090,Havant,2454
E07000091,New Forest,2867
E07000092,Rushmoor,2583
E07000093,Test Valley,2503
E07000094,Winchester,2998
E07000095,Broxbourne,1393
E07000096,Dacorum,2874
E07000098,Hertsmere,1790
